company,drug_name,highest_phase,indication,mechanism,notes
Sanofi/Denali,SAR443820 (DNL788),Phase 2,Amyotrophic Lateral Sclerosis,RIPK1 inhibitor (BBB-penetrant),Lead CNS programme; also in Phase 2 for MS
Sanofi/Denali,SAR443820 (DNL788),Phase 2,Multiple Sclerosis,RIPK1 inhibitor (BBB-penetrant),Relapsing MS trial ongoing
Sanofi/Denali,SAR443122 (DNL758),Phase 2,Ulcerative Colitis,RIPK1 inhibitor (peripheral),Peripherally-restricted for GI indications
Sanofi/Denali,SAR443122 (DNL758),Phase 2,Cutaneous Lupus,RIPK1 inhibitor (peripheral),Autoimmune indication expansion
GSK,GSK2982772,Phase 2,Psoriasis,RIPK1 inhibitor (peripheral),Higher dose Phase 2b ongoing
GSK,GSK2982772,Phase 2,Rheumatoid Arthritis,RIPK1 inhibitor (peripheral),Limited efficacy in Phase 2; development uncertain
GSK,GSK2982772,Phase 2,Ulcerative Colitis,RIPK1 inhibitor (peripheral),Did not meet primary endpoint
Rigel/Eli Lilly,R552,Phase 2,Immunological Diseases,RIPK1 inhibitor,Partnership for immunological and neurodegenerative diseases
GenFleet Therapeutics,GFH312,Phase 1,Inflammatory Diseases,RIPK1 inhibitor,First Chinese RIPK1 inhibitor in clinic
Sironax,SIR1-365,Phase 1,COVID-19,RIPK1 inhibitor,Severe COVID-19 indication
Hangzhou Zhongmei Huadong,Undisclosed,Preclinical,Undisclosed,RIPK1 inhibitor,Early-stage development
Escient Pharmaceuticals,EP547,Preclinical,Neuroinflammation,RIPK1 inhibitor,Neurology-focused programme
